# TETTL ayrıştırma denetimi — cilt başına 30 (hash sırası 9j-audit); ölçüt: başlık ve yakın verici dili doğru. LLM ön-etiketi (Claude), insan onayı yok.
cilt	sıra	başlık	verici	etimon	şüphe	karar	not
3	8	gugus	el	KOÜKKOÇ	0	doğru	
3	9	hümasaye	fa	hüma	0	doğru	
3	10	güng/künk	fa	gung	0	doğru	
3	11	i'tizar/i'tidar	ar	i	0	doğru	
3	12	getr/getir	fr	guetre	0	doğru	
3	13	firaş	ar	firaş	0	doğru	
3	14	göyna	fa	güna	0	doğru	
3	15	feretiko/forotiko	el	poperıkö	0	doğru	
3	16	fahte	fa	fahta	0	doğru	
3	17	gar	fr	gare	0	doğru	
3	18	hamid/hamilde	ar	hamid/hamida	0	doğru	
3	19	ızbandut/izbandut	it	sbandito	0	doğru	
3	20	gülşensaray	fa	gulşan-saray	0	doğru	
3	21	flüt	fr	flute	0	doğru	
3	22	gerdenkeşi	fa	gardan-kaşi	0	doğru	
3	23	fam	fr	femme	0	doğru	
3	24	gayri/gayrı	fa	ğayr	0	doğru	
3	25	hameçik	hy	hamaçik	0	doğru	
3	26	hanay/haney/anay	el	avayı	0	doğru	
3	27	hadeka	ar	hadeka	0	doğru	
3	28	hürr/hür	ar	hurr	0	doğru	
3	29	gaf	fr	gaffe	0	doğru	
3	30	istilyoz/istalyoz	el	orüAoç/	0	doğru	
4	1	levha	ar	favvha	0	doğru	
4	2	loğdur/loğdut	hy	loğ	0	doğru	
4	3	karbon	en	carbon	0	doğru	
4	4	kırza	hy	grza	0	doğru	
4	5	latife	ar	latifa	0	doğru	
4	6	lâpiska/lepiska	fr	lipsicois	0	doğru	
4	7	koza	fa	göza	0	doğru	
4	8	kall	hy	kalek	0	yanlış	başlık kesik (kallık)
4	9	köş	el	Ke	0	doğru	
4	10	lünet	fr	lunette	0	doğru	
4	11	levh/loh	ar	lawh	0	doğru	
4	12	komik	fr	comique	0	doğru	
4	13	kasketa	el	kasketo	0	doğru	
4	14	korsaj	fr	corsage	0	doğru	
4	15	kaa	hy	k	0	doğru	
4	16	kadron	fr	cadron	0	doğru	
4	17	kenizek/keniyzek	fa	kanizak	0	doğru	
4	18	kavern	fr	caverne	0	doğru	
4	19	lake	fr	laqué	0	doğru	
4	20	kaide	ar	ka	0	doğru	
4	21	kamet	ar	kama	0	doğru	
4	22	kontes	fr	comtesse	0	doğru	
4	23	kol	hy	gul	0	doğru	
4	24	lunapark	de	Lunapark	0	doğru	
4	25	lüks/lüküs	fr	luxe	0	doğru	
4	26	lüle/lüle	fa	/öla/lüla	0	doğru	
4	27	köydaş/köydeş	fa	küy-daş	0	doğru	
4	28	lavabo	fr	lavabo	0	doğru	
4	29	kenger/kenker/kengir/kengel/gengel	fa	kangar	0	doğru	
4	30	kevki/kıvkı	el	kauki	0	doğru	
5	1	me'yus/meyus	fa	ma	0	doğru	
5	2	matlab	ar	matlab	0	doğru	
5	3	müşk	fa	muşk	0	doğru	
5	4	mukadder	ar	mukaddar	0	doğru	
5	5	mecmu	ar	macmü	0	doğru	
5	6	mandra/mandıra/mandere/manar	el	udvTpo	0	doğru	
5	7	mastori/masturi	el	vuaoTopiıç	0	doğru	
5	8	maçuna/macuna	it	mancina	0	doğru	
5	9	müşt	fa	muşt	0	doğru	
5	10	manikür	fr	manucure/manicure	0	doğru	
5	11	musaffa	ar	musaffa	0	doğru	
5	12	müstesna	ar	müstesna	0	doğru	
5	13	muhakkar	ar	muhakkar	0	doğru	
5	14	misk/mis/müşk	fa	muşk	0	doğru	
5	15	mağdur	ar	mağdür	0	doğru	
5	16	nat	ar	nat	0	doğru	
5	17	makararula/makararule/makararole	it	paranco	0	doğru	
5	18	mayna	it	mainal	0	doğru	
5	19	miskin	fa	miskin	0	doğru	
5	20	nemle	ar	namla	0	doğru	
5	21	mihman-hane	fa	mihman-hana	0	doğru	
5	22	meymenet	ar	maymana	0	doğru	
5	23	nevadirden	ar	navvadir	0	doğru	
5	24	menzil	ar	manzil	0	doğru	
5	25	misket	it	moschetto	0	doğru	
5	26	morfin	fr	morphine	0	doğru	
5	27	morti	el	uoprn	0	doğru	
5	28	mevrus	ar	mavvrüs	0	doğru	
5	29	mühmel	ar	muhmal	0	doğru	
5	30	mariz	ar	mariZ	0	doğru	
6	1	pis	fa	pis/pes	0	doğru	
6	2	rıhtım	fa	rihtim	0	doğru	
6	3	refakat	fa	rafakat	0	doğru	
6	4	rıkkıyet	ar	rikkiya	0	doğru	
6	5	rugan	fa	revgan	0	doğru	
6	6	raket	fr	racket	0	doğru	
6	7	riyale	it	galera	0	doğru	
6	8	peş	fa	peş	0	doğru	
6	9	remmal	ar	rammal	0	doğru	
6	10	pisi	el	u	0	doğru	
6	11	pertuala/portahala	el	протоүслАа	0	doğru	
6	12	râyihadâr	fa	rayiha	0	doğru	
6	13	psikoz	fr	psychose	0	doğru	
6	14	pirinc	fa	birinc	0	doğru	
6	15	poplin	fr	popeline	0	doğru	
6	16	rah	fa	rah/rah	0	doğru	
6	17	piyon	fr	pion	0	doğru	
6	18	ram	fa	râma	0	doğru	
6	19	rapor	fr	rapport	0	doğru	
6	20	parça	fa	parça	0	doğru	
6	21	randıman/randuman	fr	rendement	0	doğru	
6	22	prusya	it	Prussia	0	doğru	
6	23	permanant/permanat	fr	permanante	0	doğru	
6	24	pakize	fa	pakize	0	doğru	
6	25	portatif/portetik	fr	portatif	0	doğru	
6	26	pasyans	fr	patience	0	doğru	
6	27	pinti	hy	p	0	doğru	
6	28	peçete/peçata	it	pezzeta	0	doğru	
6	29	prova	it	prova	0	doğru	
6	30	piyandaz	el	nnYaivovTaç	0	doğru	
7	1	şakayik	ar	şakâ	0	doğru	
7	2	safra	ar	şafra	0	doğru	
7	3	seks	fr	sexe	0	doğru	
7	4	sünnet	ar	sünnet	0	doğru	
7	5	şeytan	ar	şeytan	0	doğru	
7	6	sak	ar	sak	0	doğru	
7	7	şirret	ar	şirra	0	doğru	
7	8	siğil	fa	zigil	0	doğru	
7	9	seans	fr	seance	0	doğru	
7	10	sabahtan/savahdan	ar	sabâh	0	doğru	
7	11	simsar	ar	simsar	0	doğru	
7	12	sapanorya	el	odrrauc	0	doğru	
7	13	serpantin	fr	serpentin	0	doğru	
7	14	satır	ar	satr	0	doğru	
7	15	sadrazam	ar	sadr-ı	0	doğru	
7	16	saz	fa	saz	0	doğru	
7	17	skota/skuta	it	scotta	0	doğru	
7	18	semenli	ar	semen	0	doğru	
7	19	sincap	fa	sincâb	0	doğru	
7	20	sais/seis	ar	sayis	0	doğru	
7	21	sekiros	el	GXİppOÇ	0	doğru	
7	22	siftah	ar	istiftah	0	doğru	
7	23	şarpa	fr	echarpe	0	doğru	
7	24	şizoid	fr	schizoide	0	doğru	
7	25	şahna/şahne	ar	şihna	0	doğru	
7	26	şekerriz	fa	şakar-riz	0	doğru	
7	27	şumar	fa	şumar	0	doğru	
7	28	şiar	ar	şi	0	doğru	
7	29	sütre	ar	sütre	0	doğru	
7	30	sinyal	fr	signal	0	doğru	
8	1	vecibe	ar	vecibe	0	doğru	
8	2	tecir	ar	tacir	0	doğru	
8	3	tedarikle-	ar	tedarük	0	doğru	
8	4	telis/tehlis/tehliz/tiliz/talız	ar	tilis	0	doğru	
8	5	velhasıl	ar	el-hâsıl	0	doğru	
8	6	tezik-	fa	tiz	0	doğru	
8	7	teve	fr	television	0	doğru	
8	8	tetri/tetile/tetir/tetre/tetire/tetere	fa	tetri	0	doğru	
8	9	tevekkeli/tevekkelli/tevekküllü/tevekellü	ar	tevekkül	0	doğru	
8	10	tığ	hy	t’el	0	doğru	
8	11	tezce	fa	tez	0	doğru	
8	12	temmuz/tomus/tamus	ar	temmüz	0	doğru	
8	13	tülüngi/tülüngü	fa	tülengi	0	doğru	
8	14	tiryak	ar	tiryak	0	doğru	
8	15	termiye/tirmiş	el	ƏZpuuto	0	doğru	
8	16	tırpana/tırpane	el	öpemdvı	1	doğru	
8	17	varışlı/varaşatlı/varışatlı	ar	varişat	0	doğru	
8	18	velime	ar	velime	0	doğru	
8	19	uhde/uhte	ar	uhde	0	doğru	
8	20	vaz	fa	vaz	0	yanlış	deyim başlığı (vaz geç)
8	21	telaşe	ar	teläsi	0	doğru	
8	22	tez-gec	fa	tez	0	doğru	
8	23	teftişle-	ar	teftiş	0	doğru	
8	24	tuval	fr	toile	0	doğru	
8	25	trampa	it	tramuta	0	doğru	
8	26	tirşe	fa	teraşe	0	doğru	
8	27	vekil-i	ar	vekil-i	0	yanlış	deyim başlığı (vekil-i harç)
8	28	uskurum	el	axwpa	0	doğru	
8	29	tele-sekreter	fr	tel&secretaire	0	doğru	
8	30	teşme	fa	çeşme	0	doğru	
9	1	yürik	hy	porik	0	doğru	
9	2	zahman	fa	zahman	0	doğru	
9	3	yelese/yelemse	fa	yarasa	0	doğru	
9	4	zarafatcıl	ar	zarafet	0	doğru	
9	5	yaban	fa	biyaban	0	doğru	
9	6	yahudu	ar	yahüdi	0	doğru	
9	7	zurba/zurva/zorba/zırba/zıpıra	ar	surba	0	doğru	
9	8	yanbol/yanbul	el	yıdurroAn	0	doğru	
9	9	yerekan	ar	yarakan	0	doğru	
9	10	zann	ar	zann	0	doğru	
9	11	yakinen	ar	yakin	0	doğru	
9	12	zimilas	el	т	0	doğru	
9	13	zad/zat	ar	zad	0	doğru	
9	14	zenci	ar	zenci	0	doğru	
9	15	zoyka	ru	sójka	0	doğru	
9	16	zanka/zanga	ru	sanki	0	doğru	
9	17	ya	fa	ya	0	doğru	
9	18	zagota/zaguda	el	Tfaywra	0	doğru	
9	19	zor	fa	zür	0	doğru	
9	20	zarüri	ar	żarūrī	0	doğru	
9	21	zahter	ar	sa	0	doğru	
9	22	zamah/zamak/samah	ar	samāh	0	doğru	
9	23	yafta	fa	yafta	0	doğru	
9	24	zanzalak/zamzalak/zenzelak	ar	zanzalaht	0	doğru	
9	25	yelve/yelvi/yebre/yelfe	fa	yalva/lyalvı	0	doğru	
9	26	zati/zata	ar	zâten	0	doğru	
9	27	yakaza	ar	yakaza	0	doğru	
9	28	zaifi-	ar	Za	0	doğru	
9	29	zir	fa	zir	0	doğru	
9	30	yahni	fa	yahn?	0	doğru	
